openalex_id,doi,title,year,date,type,authors,venue,landing_page,pdf_url,open_access,cited_by_count,discovery_queries,abstract
https://openalex.org/W4362515116,https://doi.org/10.1007/s11704-026-60308-3,A Survey of Large Language Models,2026,2026-05-09,article,Wayne Xin Zhao; Kun Zhou; Junyi Li; Tianyi Tang; Zican Dong; Yupeng Hou; Beichen Zhang; Yingqian Min; Junjie Zhang; Peiyu Liu; Xiaolei Wang; Yifan Du,Frontiers of Computer Science,https://doi.org/10.1007/s11704-026-60308-3,https://link.springer.com/content/pdf/10.1007/s11704-026-60308-3.pdf,True,1488,agent-forgetting;agent-learning;agent-local-memory;agent-memory-survey;memory-evaluation;memory-utility,"Abstract The rapid evolution of large language models (LLMs) has driven a transformative shift in artificial intelligence (AI), reshaping both research paradigms and practical applications. Distinguished from their predecessors by unprecedented scale and advanced capabilities, LLMs necessitate new frameworks for understanding their development, behavior, and societal impact. This survey systematically reviews recent advancements in LLM techniques across four key dimensions: (1) pre-training methodologies, which establish core model capabilities through large-scale self-supervised training, architectural innovations, and data curation strategies; (2) post-training techniques, including supervised fine-tuning and reinforcement learning, which adapt foundational models to downstream tasks and enhance their alignment and safety; (3) utilization strategies, such as in-context learning, prompt engineering, and agentic reasoning, that optimize real-world deployment and enable effective interaction with external environments; and (4) evaluation methods, encompassing benchmarks for key ability dimensions such as core language capabilities, reasoning, and safety, which support comprehensive and reliable assessment of model performance. Additionally, we identify critical research issues, including those concerning theoretical foundations, efficient scaling, alignment, and agentic capability, and highlight the open challenges they present. By synthesizing state-of-the-art insights and emerging trends, this survey aims to provide a systematic and comprehensive framework for understanding the trajectory, current limitations, and future directions of LLM progress."
https://openalex.org/W4390730779,https://doi.org/10.1002/widm.70111,"Exploring Large Language Model‐Based Intelligent Agents: Definitions, Methods, and Prospects",2026,2026-07-24,article,Yuheng Cheng; Ceyao Zhang; Zhengwen Zhang; Xiangrui Meng; Sirui Hong; Wenhao Li; Zihao Wang; Zekai Wang; Feng Yin; Junhua Zhao; Xiuqiang He,Wiley Interdisciplinary Reviews Data Mining and Knowledge Discovery,https://doi.org/10.1002/widm.70111,,True,38,agent-episodic,"ABSTRACT The concept of the intelligent agent represents a long‐standing pursuit in artificial intelligence. Recent breakthroughs in large language models (LLMs) have catalyzed a paradigm shift, enabling the development of sophisticated agents that exhibit advanced reasoning, planning, and tool‐use capabilities across diverse domains. These LLM‐based agents, which leverage natural language as a universal interface for cognition and interaction, are rapidly advancing from theoretical constructs to practical applications, ranging from autonomous task assistants to complex multi‐agent simulations of social and economic systems. This paper provides an integrative survey of this burgeoning field. We first establish an organizing framework for understanding LLM‐based agents, systematically deconstructing both single‐agent and multi‐agent systems into their core components. We analyze the architectural principles and key mechanisms that underpin their intelligence, including planning paradigms, memory structures, and reflection‐based self‐improvement. We further investigate the dynamics of multi‐agent systems, exploring coordination strategies, communication protocols, and organizational structures. The paper also covers the crucial aspects of performance evaluation, highlighting influential benchmarks and identifying key challenges. Finally, we synthesize the current landscape to discuss the primary challenges, such as the intrinsic limitations of LLMs and the complexities of ensuring safety and alignment, and chart a course for future research directions, including the drive toward continual learning and enhanced multi‐modal capabilities."
https://openalex.org/W7119224602,https://doi.org/10.34218/ijrcait_09_01_001,A MODULAR BENCHMARKING FRAMEWORK FOR EVALUATING LLM-BASED AGENT APPLICATIONS,2026,2026-01-06,article,Karthik Perikala,INTERNATIONAL JOURNAL OF RESEARCH IN COMPUTER APPLICATIONS AND INFORMATION TECHNOLOGY,https://doi.org/10.34218/ijrcait_09_01_001,https://doi.org/10.34218/ijrcait_09_01_001,True,29,memory-evaluation,"Large Language Model (LLM) based agent applications integrate reasoning, retrieval, tool invocation, and multi-turn interaction to solve complex tasks.While recent advances have enabled rapid adoption of agentic systems in production, evaluation methodologies have largely remained model-centric, focusing on single-turn accuracy or preference-based scoring.These approaches fail to capture agent-level behavior such as contextual grounding, conversational fidelity, tool effectiveness, and safety characteristics. This paper introduces a modular benchmarking framework for evaluating LLMbased agent applications across models, agent architectures, and execution strategies.The framework decouples datasets, agents, models, and metrics, enabling systematic and reproducible evaluation.We define a multi-dimensional metric taxonomy spanning output quality, contextual grounding, conversational relevance, and safety, and combine it with trace-aware execution to support fine-grained analysis of agent behavior.Using representative synthetic benchmarks derived from real-world agent workloads, we demonstrate that agent design choices-particularly retrieval Karthik Perikala https://iaeme.com/Home/"
https://openalex.org/W7118532765,https://doi.org/10.3390/info17010054,"Prompt Injection Attacks in Large Language Models and AI Agent Systems: A Comprehensive Review of Vulnerabilities, Attack Vectors, and Defense Mechanisms",2026,2026-01-07,article,Saidakhror Gulyamov; Saidakhror Gulyamov; Said Saidakhrarovich Gulyamov; Said Saidakhrarovich Gulyamov; Andrey Rodionov; Rustam Khursanov; Kambariddin Mekhmonov; Djakhongir Babaev; Akmaljon Rakhimjonov,Information,https://doi.org/10.3390/info17010054,https://www.mdpi.com/2078-2489/17/1/54/pdf?version=1767774981,True,26,memory-safety,"Large language models (LLMs) have rapidly transformed artificial intelligence applications across industries, yet their integration into production systems has unveiled critical security vulnerabilities, chief among them prompt injection attacks. This comprehensive review synthesizes research from 2023 to 2025, analyzing 45 key sources, industry security reports, and documented real-world exploits. We examine the taxonomy of prompt injection techniques, including direct jailbreaking and indirect injection through external content. The rise of AI agent systems and the Model Context Protocol (MCP) has dramatically expanded attack surfaces, introducing vulnerabilities such as tool poisoning and credential theft. We document critical incidents including GitHub Copilot’s CVE-2025-53773 remote code execution vulnerability (CVSS 9.6) and ChatGPT’s Windows license key exposure. Research demonstrates that just five carefully crafted documents can manipulate AI responses 90% of the time through Retrieval-Augmented Generation (RAG) poisoning. We propose PALADIN, a defense-in-depth framework implementing five protective layers. This review provides actionable mitigation strategies based on OWASP Top 10 for LLM Applications 2025, identifies fundamental limitations including the stochastic nature problem and alignment paradox, and proposes research directions for architecturally secure AI systems. Our analysis reveals that prompt injection represents a fundamental architectural vulnerability requiring defense-in-depth approaches rather than singular solutions."
https://openalex.org/W7118158543,https://doi.org/10.1109/access.2026.3651218,Agentic AI in Healthcare and Medicine: A Seven-Dimensional Taxonomy for Empirical Evaluation of LLM-Based Agents,2026,2026-01-01,article,Shubham Vatsal; Harsh Dubey; Aditi Singh,IEEE Access,https://doi.org/10.1109/access.2026.3651218,,True,10,agent-consolidation;agent-episodic;agent-forgetting,"Large Language Model (LLM)-based agents that plan, use tools and act has begun to shape healthcare and medicine. Reported studies demonstrate competence on various tasks ranging from EHR analysis and differential diagnosis to treatment planning and research workflows. Yet the literature largely consists of overviews which are either broad surveys or narrow dives into a single capability (e.g., memory, planning, reasoning), leaving healthcare work without a common frame. We address this by reviewing 49 studies using a seven-dimensional taxonomy: Cognitive Capabilities, Knowledge Management, Interaction Patterns, Adaptation & Learning, Safety & Ethics, Framework Typology and Core Tasks & Subtasks with 29 operational sub-dimensions. Using explicit inclusion and exclusion criteria and a labeling rubric (Fully Implemented✓,Partially ImplementedΔ,Not Implemented✗), we map each study to the taxonomy and report quantitative summaries of capability prevalence and co-occurrence patterns. Our empirical analysis surfaces clear asymmetries. For instance, the External Knowledge Integration sub-dimension under Knowledge Management is commonly realized (∼76% ✓) whereas Event-Triggered Activation sub-dimenison under Interaction Patterns is largely absent (∼92% ✗) and Drift Detection & Mitigation sub-dimension under Adaptation & Learning is rare (∼98% ✗). Architecturally, Multi-Agent Design sub-dimension under Framework Typology is the dominant pattern (∼82% ✓) while orchestration layers remain mostly partial. Across Core Tasks & Subtasks, information centric capabilities lead e.g., Medical Question Answering & Decision Support and Benchmarking & Simulation, while action and discovery oriented areas such as Treatment Planning & Prescription still show substantial gaps (∼59% ✗). Together, these findings provide an empirical baseline indicating that current agents excel at retrieval-grounded advising but require stronger adaptation and compliance platforms to move from early-stage systems to dependable systems."
https://openalex.org/W4415289348,https://doi.org/10.18653/v1/2026.findings-acl.1330,A Survey on Evaluation of LLM-based Agents,2026,2026-01-01,conference-paper,Asaf Yehudai; Lilach Eden; Alan Li; Guy Uziel; Yilun Zhao; Roy Bar-Haim; Arman Cohan; Michal Shmueli-Scheuer,,https://doi.org/10.18653/v1/2026.findings-acl.1330,https://aclanthology.org/2026.findings-acl.1330.pdf,True,8,agent-episodic;agent-retrieval,"LLM-based agents represent a paradigm shift in AI, enabling autonomous systems to plan, reason, and use tools while interacting with dynamic environments.This paper provides the first comprehensive survey of evaluation methods for these increasingly capable agents.We analyze the field of agent evaluation across five perspectives: (1) Core LLM capabilities needed for agentic workflows, like planning, and tool use; (2) Application-specific benchmarks such as web and SWE agents; (3) Evaluation of generalist agents; (4) Analysis of agent benchmarks' core dimensions; and (5) Evaluation frameworks and tools for agent developers.Our analysis reveals current trends, including a shift toward more realistic, challenging evaluations with continuously updated benchmarks.We also identify critical gaps that future research must address-particularly in assessing cost-efficiency, safety, and robustness, and in developing fine-grained, scalable evaluation methods 1 .LLM-based agents are composed of a backbone LLM and an agent harness (Yao et al., 2022b).Thus, evaluating the core suite of LLM abilities required for agentic tasks is paramount to understand-26690"
https://openalex.org/W4416982487,https://doi.org/10.1109/access.2026.3698694,From LLM Reasoning to Autonomous AI Agents: A Comprehensive Review,2026,2026-01-01,article,Mohamed Amine Ferrag; Norbert Tihanyi; Mérouane Debbah,IEEE Access,https://doi.org/10.1109/access.2026.3698694,,True,7,agent-consolidation,"Large language models and autonomous AI agents have evolved rapidly, resulting in a diverse array of evaluation benchmarks, frameworks, and collaboration protocols. Driven by the growing need for standardized evaluation and integration, we systematically consolidate these fragmented efforts into a unified framework. However, the landscape remains fragmented and lacks a unified taxonomy or comprehensive survey. Therefore, we present a side-by-side comparison of benchmarks developed between 2019 and 2025 that evaluate these models and agents across multiple domains. In addition, we propose a taxonomy of approximately 60 benchmarks that cover general and academic knowledge reasoning, mathematical problem-solving, code generation and software engineering, factual grounding and retrieval, domain-specific evaluations, multimodal and embodied tasks, task orchestration, and interactive assessments. Furthermore, we review AI-agent frameworks introduced between 2023 and 2025 that integrate large language models with modular toolkits to enable autonomous decision-making and multi-step reasoning. Moreover, we present real-world applications of autonomous AI agents in materials science, biomedical research, academic ideation, software engineering, synthetic data generation, chemical reasoning, mathematical problem-solving, geographic information systems, multimedia, healthcare, and finance. We then survey key agent-to-agent collaboration protocols, namely the Agent Communication Protocol (ACP), the Model Context Protocol (MCP), and the Agent-to-Agent Protocol (A2A). Finally, we discuss recommendations for future research, focusing on advanced reasoning strategies, failure modes in multi-agent LLM systems, automated scientific discovery, dynamic tool integration via reinforcement learning, integrated search capabilities, and security vulnerabilities in agent protocols."
https://openalex.org/W7119489716,https://doi.org/10.48550/arxiv.2601.04170,Agent Drift: Quantifying Behavioral Degradation in Multi-Agent LLM Systems Over Extended Interactions,2026,2026-01-07,preprint,Abhishek Rath,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2601.04170,,True,5,agent-episodic,"Multi-agent Large Language Model (LLM) systems have emerged as powerful architectures for complex task decomposition and collaborative problem-solving. However, their long-term behavioral stability remains largely unexamined. This study introduces the concept of agent drift, defined as the progressive degradation of agent behavior, decision quality, and inter-agent coherence over extended interaction sequences. We present a comprehensive theoretical framework for understanding drift phenomena, proposing three distinct manifestations: semantic drift (progressive deviation from original intent), coordination drift (breakdown in multi-agent consensus mechanisms), and behavioral drift (emergence of unintended strategies). We introduce the Agent Stability Index (ASI), a novel composite metric framework for quantifying drift across twelve dimensions, including response consistency, tool usage patterns, reasoning pathway stability, and inter-agent agreement rates. Through simulation-based analysis and theoretical modeling, we demonstrate how unchecked agent drift can lead to substantial reductions in task completion accuracy and increased human intervention requirements. We propose three mitigation strategies: episodic memory consolidation, drift-aware routing protocols, and adaptive behavioral anchoring. Theoretical analysis suggests these approaches can significantly reduce drift-related errors while maintaining system throughput. This work establishes a foundational methodology for monitoring, measuring, and mitigating agent drift in production agentic AI systems, with direct implications for enterprise deployment reliability and AI safety research."
https://openalex.org/W4403363860,https://doi.org/10.1007/978-3-032-16092-8_28,Prompt Infection: LLM-to-LLM Prompt Injection within Multi-agent Systems,2026,2026-01-01,conference-paper,Dong-Hyun Lee; Mansi Tiwari; Brando Miranda,Lecture notes in computer science,https://doi.org/10.1007/978-3-032-16092-8_28,,True,5,agent-episodic,
https://openalex.org/W7160304775,https://doi.org/10.3390/jcp6030084,Model Context Protocol Threat Modeling and Analysis of Vulnerabilities to Prompt Injection with Tool Poisoning,2026,2026-05-05,article,Charoes Huang; Xin Huang; Ngoc Phu Tran; Amin Milani Fard,Journal of Cybersecurity and Privacy,https://doi.org/10.3390/jcp6030084,https://www.mdpi.com/2624-800X/6/3/84/pdf?version=1777976292,True,4,memory-safety,"The Model Context Protocol (MCP) has rapidly emerged as a universal standard for connecting AI assistants to external tools and data sources. While the MCP simplifies integration between AI applications and various services, it introduces significant security vulnerabilities, particularly on the client side. In this work, we conduct threat modelings of MCP implementations using STRIDE (Spoofing, Tampering, Repudiation, Information Disclosure, Denial of Service, Elevation of Privilege) and DREAD (Damage, Reproducibility, Exploitability, Affected Users, Discoverability) frameworks across six key components: MCP host, MCP client, LLM, MCP server, external data stores, and authorization server. This comprehensive analysis reveals tool poisoning—where malicious instructions are embedded in tool metadata—as the most prevalent and impactful client-side vulnerability. We therefore focus our empirical evaluation on this critical attack vector, providing a systematic comparison of how seven major MCP clients validate and defend against tool poisoning attacks. Our analysis reveals significant security issues with most tested clients due to insufficient static validation and parameter visibility. We propose a multi-layered defense strategy encompassing static metadata analysis, model decision path tracking, behavioral anomaly detection, and user transparency mechanisms. This research addresses a critical gap in MCP security, which has primarily focused on server-side vulnerabilities, and provides actionable recommendations and mitigation strategies for securing AI agent ecosystems."
